k,rise,SE,structure,step,split,best
1.0,255.8836324775194,286.24852927854164,C,0,K+BB+HBP+HR | 1B+2B+ROE+OUT,45
1.0,1508.9526563337588,905.5720359563333,C,3,K | BB,16
1.4,1211.593147665196,810.1451071101808,C,3,K | BB,16
2.0,917.6450098772616,702.5425470552648,C,3,K | BB,16
2.8,644.258011694782,585.2560712850188,C,3,K | BB,16
4.0,407.8529409540571,461.87951564925305,C,3,K | BB,16
5.7,221.67360018721578,336.9273885979494,C,3,K | BB,16
8.0,93.0766633472155,215.33737421388594,C,3,K | BB,16
11,21.76582692308106,101.78458308986988,C,3,K | BB,16
16,0.0,0.0,C,3,K | BB,16
23,14.958939385642317,87.69597693546122,C,3,K | BB,16
32,52.30178484220353,160.52166357472936,C,3,K | BB,16
45,99.39622679524257,219.03554498424594,C,3,K | BB,16
64,147.13008665621572,264.7311975426612,C,3,K | BB,16
91,190.16663436621513,299.5826572678699,C,3,K | BB,16
128,226.20056461079326,325.663201025048,C,3,K | BB,16
181,254.89884119309585,344.8930268908142,C,3,K | BB,16
256,276.97258841482454,358.9124988663629,C,3,K | BB,16
362,293.5394923122263,369.04752905244703,C,3,K | BB,16
512,305.7593013960234,376.32904221949127,C,3,K | BB,16
724,314.6623892332577,381.5368459467167,C,3,K | BB,16
1024,321.09260968898064,385.2493716121269,C,3,K | BB,16
1448,325.70816610632573,387.8897506754188,C,3,K | BB,16
2048,329.00668265142843,389.76446637517375,C,3,K | BB,16
inf,337.09071092344766,394.31694570460775,C,3,K | BB,16
1.0,4904.558919500377,1275.3824921826747,C,4,1B | 2B+ROE+OUT,45
1.4,4442.758335996221,1223.6461812740527,C,4,1B | 2B+ROE+OUT,45
2.0,3912.4705509757523,1157.6380968111332,C,4,1B | 2B+ROE+OUT,45
2.8,3324.3884758543004,1075.5892199854045,C,4,1B | 2B+ROE+OUT,45
4.0,2699.0354906402126,976.3492749603109,C,4,1B | 2B+ROE+OUT,45
5.7,2068.048646232335,859.9305395924457,C,4,1B | 2B+ROE+OUT,45
8.0,1470.6489925562855,727.862012711324,C,4,1B | 2B+ROE+OUT,45
11,946.9700319392479,583.45545117651,C,4,1B | 2B+ROE+OUT,45
16,529.7325099215717,431.82748834896506,C,4,1B | 2B+ROE+OUT,45
23,236.45735144273064,279.49898692193983,C,4,1B | 2B+ROE+OUT,45
32,65.92054146132752,133.47781585635246,C,4,1B | 2B+ROE+OUT,45
45,0.0,0.0,C,4,1B | 2B+ROE+OUT,45
64,10.272990908340157,116.51601753923829,C,4,1B | 2B+ROE+OUT,45
91,66.39958420107604,214.00978445726918,C,4,1B | 2B+ROE+OUT,45
128,142.82265862524625,292.6205494960343,C,4,1B | 2B+ROE+OUT,45
181,221.8378054452099,354.06482546207195,C,4,1B | 2B+ROE+OUT,45
256,293.4120443467939,400.90047674835495,C,4,1B | 2B+ROE+OUT,45
362,353.3246394785391,435.9075370327025,C,4,1B | 2B+ROE+OUT,45
512,400.95285722185963,461.6843867203573,C,4,1B | 2B+ROE+OUT,45
724,437.5105012618226,480.4538709309728,C,4,1B | 2B+ROE+OUT,45
1024,464.8969775422416,494.0089825222229,C,4,1B | 2B+ROE+OUT,45
1448,485.0668680937208,503.7398080379765,C,4,1B | 2B+ROE+OUT,45
2048,499.74509180697964,510.69510357338805,C,4,1B | 2B+ROE+OUT,45
inf,536.6548935020268,527.7474638350503,C,4,1B | 2B+ROE+OUT,45
1.0,4829.054822813791,937.459753176949,C,5,OUT | 2B+ROE,inf
1.4,4482.295482233579,900.2876696505069,C,5,OUT | 2B+ROE,inf
2.0,4074.496732092257,854.8974491139624,C,5,OUT | 2B+ROE,inf
2.8,3603.131264901736,799.8717670752717,C,5,OUT | 2B+ROE,inf
4.0,3084.2367439798395,733.8743106224506,C,5,OUT | 2B+ROE,inf
5.7,2544.7130849667406,658.8241717645689,C,5,OUT | 2B+ROE,inf
8.0,2020.9880555204975,577.4343277371054,C,5,OUT | 2B+ROE,inf
11,1541.6684007541478,493.3223271340207,C,5,OUT | 2B+ROE,inf
16,1130.0196352581,410.31254377299507,C,5,OUT | 2B+ROE,inf
23,797.3098731340827,332.329964929447,C,5,OUT | 2B+ROE,inf
32,544.9302216141285,262.459144226588,C,5,OUT | 2B+ROE,inf
45,363.6647766514812,202.60350760075627,C,5,OUT | 2B+ROE,inf
64,239.11258214139235,153.33400399863245,C,5,OUT | 2B+ROE,inf
91,156.36422656075894,114.15391054469933,C,5,OUT | 2B+ROE,inf
128,102.46410030266254,83.88641017441279,C,5,OUT | 2B+ROE,inf
181,67.65371017556873,61.01906582394956,C,5,OUT | 2B+ROE,inf
256,45.113164907760655,44.040656197468984,C,5,OUT | 2B+ROE,inf
362,30.39810405381569,31.60299119680706,C,5,OUT | 2B+ROE,inf
512,20.68937493766688,22.586737679210334,C,5,OUT | 2B+ROE,inf
724,14.20884125125279,16.094153077667528,C,5,OUT | 2B+ROE,inf
1024,9.830055329679887,11.442664835614272,C,5,OUT | 2B+ROE,inf
1448,6.839778418189646,8.122706087526135,C,5,OUT | 2B+ROE,inf
2048,4.7805598309143775,5.759574469237045,C,5,OUT | 2B+ROE,inf
inf,0.0,0.0,C,5,OUT | 2B+ROE,inf
1.0,47.72562283382705,125.54365936861042,C,6,ROE | 2B,64
1.4,33.65752324768104,107.90210172613007,C,6,ROE | 2B,64
2.0,22.34328736931803,90.58604104761666,C,6,ROE | 2B,64
2.8,14.931103727760938,74.24815524965955,C,6,ROE | 2B,64
4.0,10.165657798718174,59.398734001015114,C,6,ROE | 2B,64
5.7,6.326305370605128,46.22634262283453,C,6,ROE | 2B,64
8.0,3.520995676601387,34.706413393421634,C,6,ROE | 2B,64
11,1.6118538669562308,25.06124558132345,C,6,ROE | 2B,64
16,0.5766631944049317,17.26916136454466,C,6,ROE | 2B,64
23,0.08432758236761057,11.122391893566704,C,6,ROE | 2B,64
32,0.0017225576289596472,6.340585089666941,C,6,ROE | 2B,64
45,0.012511830824108143,2.7114015678391796,C,6,ROE | 2B,64
64,0.0,0.0,C,6,ROE | 2B,64
91,0.005960604313843655,1.9858578045799433,C,6,ROE | 2B,64
128,0.024121768094093075,3.429974553620606,C,6,ROE | 2B,64
181,0.047569560357377146,4.4715645041539736,C,6,ROE | 2B,64
256,0.07074864044508967,5.218187003821238,C,6,ROE | 2B,64
362,0.08911879897196162,5.751995003830041,C,6,ROE | 2B,64
512,0.10326369651044662,6.13144613854594,C,6,ROE | 2B,64
724,0.11299845474592615,6.400600155611341,C,6,ROE | 2B,64
1024,0.12014825669860082,6.591618065736577,C,6,ROE | 2B,64
1448,0.12535985514315923,6.7270044409694405,C,6,ROE | 2B,64
2048,0.12885635657103361,6.82292253895369,C,6,ROE | 2B,64
inf,0.1374214241736814,7.055048011552832,C,6,ROE | 2B,64
